"","AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"866","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4020","Correspondence Clerks","broad",7060,6.2,NA,NA,NA,NA,"20.059999999999999","41710","2.9","14.14","17.670000000000002","18.23","22.58","25.15","29420","36750","37920","46960","52310",NA,NA
"867","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4021","Correspondence Clerks","detailed",7060,6.2,NA,NA,NA,NA,"20.059999999999999","41710","2.9","14.14","17.670000000000002","18.23","22.58","25.15","29420","36750","37920","46960","52310",NA,NA
"868","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4030","Court, Municipal, and License Clerks","broad",150170,1,NA,NA,NA,NA,"21.57","44870","0.2","13.98","17.64","21.45","23.19","29.32","29070","36680","44610","48230","60980",NA,NA
"869","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4031","Court, Municipal, and License Clerks","detailed",150170,1,NA,NA,NA,NA,"21.57","44870","0.2","13.98","17.64","21.45","23.19","29.32","29070","36680","44610","48230","60980",NA,NA
"870","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4040","Credit Authorizers, Checkers, and Clerks","broad",16820,2.5,NA,NA,NA,NA,"21.42","44540","0.7","14.35","17.739999999999998","21.49","23.38","29.61","29840","36890","44710","48620","61590",NA,NA
"871","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4041","Credit Authorizers, Checkers, and Clerks","detailed",16820,2.5,NA,NA,NA,NA,"21.42","44540","0.7","14.35","17.739999999999998","21.49","23.38","29.61","29840","36890","44710","48620","61590",NA,NA
"872","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4050","Customer Service Representatives","broad",2787070,0.5,NA,NA,NA,NA,"18.79","39070","0.1","12.67","14.28","17.75","22.34","28.19","26340","29700","36920","46460","58640",NA,NA
"873","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4051","Customer Service Representatives","detailed",2787070,0.5,NA,NA,NA,NA,"18.79","39070","0.1","12.67","14.28","17.75","22.34","28.19","26340","29700","36920","46460","58640",NA,NA
"874","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4060","Eligibility Interviewers, Government Programs","broad",151340,0.5,NA,NA,NA,NA,"23.35","48570","0.1","15.18","17.91","22.8","28.73","30.57","31580","37250","47420","59760","63590",NA,NA
"875","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-4061","Eligibility Interviewers, Government Programs","detailed",151340,0.5,NA,NA,NA,NA,"23.35","48570","0.1","15.18","17.91","22.8","28.73","30.57","31580","37250","47420","59760","63590",NA,NA
