id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
8c8b7a4e9a61c55258bed4b9b5a9c4ef,1065280,NFLX,Barry McCarthy,Chief Financial Officer,2008,796138,0,0,1077060,0,7674,1880872,
4e7cb2d0847fa411e9f0f061eb9060c3,1065280,NFLX,Neil Hunt,Chief Product Officer,2008,795000,0,0,704994,0,7170,1507164,
e8b084032efef28e1b511fa94aaf379d,1065280,NFLX,Ted Sarandos,Chief Content Officer,2008,896538,0,0,177414,0,13580,1087532,
37d67b74dab0a3107e6532bdc4a41c47,1065280,NFLX,Leslie Kilgore,Chief Marketing Officer,2008,748077,0,0,1334546,0,7080,2089703,
1d9c32f6611d704a68fe5a8c430df615,1065280,NFLX,Leslie Kilgore,Chief Marketing Officer,2007,700000,0,0,1291555,0,6930,1998485,
06863f822b9a473ba3edb8b043d71684,1065280,NFLX,Neil Hunt,Chief Product Officer,2007,670000,0,0,608872,0,7020,1285892,
0d810bf399c18a6ba00aba427141f05d,1065280,NFLX,Reed Hastings,"Chief Executive Officer,President, Chairmanof the Board",2007,850000,0,0,1568307,0,270,2418577,
15c9a102bccb463c230905277572fcd1,1065280,NFLX,Barry McCarthy,Chief Financial Officer,2007,699600,0,0,1144650,0,7164,1851414,
b2f55a246c16ce9eccb50c7686130252,1065280,NFLX,Ted Sarandos,Chief Content Officer,2007,810000,0,0,166053,0,13430,989483,
d0cac1f63aba64a426a23b4657576cf2,1065280,NFLX,Leslie Kilgore,Chief Marketing Officer,2006,650000,0,0,987864,0,15180,1653044,
326756ace47b0f5c840863d706a64577,1065280,NFLX,Reed Hastings,"Chief Executive Officer,President, Chairmanof the Board",2006,500000,0,0,1802842,0,270,2303112,
0e3413c026490e3569b45950dd2cdb31,1065280,NFLX,Barry McCarthy,Chief Financial Officer,2006,500000,0,0,1255936,0,7914,1763850,
