"id","keyword","frequency"
"linkedin_9","",31
"linkedin_9","MODEL",9
"linkedin_9","EXPERIENCE",9
"linkedin_9","DATA",8
"linkedin_9","RISK",6
"linkedin_9","MODEL DEVELOPER",6
"linkedin_9","A",6
"linkedin_9","O",6
"linkedin_9","ADVANCED",6
"linkedin_9","IS",5
"linkedin_9","ENGINEER",5
"linkedin_9","THE",5
"linkedin_9","MODELS",5
"linkedin_9","INFORMATION",5
"linkedin_9","CREDIT RISK",4
"linkedin_9","DEVELOPER",4
"linkedin_9","WITH",4
"linkedin_9","DATASETS",4
"linkedin_9","GROWTH",4
"linkedin_9","DEVELOPMENT",4
"linkedin_9","BUSINESS",4
"linkedin_9","ANALYSTS",4
"linkedin_9","CREDIT",3
"linkedin_9","INDUSTRY",3
"linkedin_9","CONCEPTS",3
"linkedin_9","FINANCIAL",3
"linkedin_9","SCIENCE",3
"linkedin_9","COMPENSATION",3
"linkedin_9","SAS",3
"linkedin_9","EXPERIENCE WORKING",3
"linkedin_9","TEAM",3
"linkedin_9","TEST",3
"linkedin_9","SPONSOR CREDIT RISK",2
"linkedin_9","TO SPONSOR CREDIT RISK",2
"linkedin_9","FINTRUST",2
"linkedin_9","ENGINEER FINTRUST",2
"linkedin_9","PARTNERED",2
"linkedin_9","WITH A",2
"linkedin_9","BANKING",2
"linkedin_9","RISK MODEL",2
"linkedin_9","CREDIT RISK MODEL",2
"linkedin_9","RISK MODEL DEVELOPER",2
"linkedin_9","CREDIT RISK MODEL DEVELOPER",2
"linkedin_9","A CREDIT RISK MODEL DEVELOPER",2
"linkedin_9","SEEKING A CREDIT RISK MODEL DEVELOPER",2
"linkedin_9","ENGINEER THIS",2
"linkedin_9","LEARNING",2
"linkedin_9","SYSTEMS",2
"linkedin_9","COMPUTER",2
"linkedin_9","PROGRAMMING",2
"linkedin_9","MATHEMATICAL",2
"linkedin_9","MATHEMATICAL CONCEPTS",2
"linkedin_9","OPPORTUNITY",2
"linkedin_9","THIS OPPORTUNITY",2
"linkedin_9","CULTURE",2
"linkedin_9","OPENMINDED",2
"linkedin_9","CULTURE OPENMINDED",2
"linkedin_9","ENVIRONMENT",2
"linkedin_9","IMPLEMENTING",2
"linkedin_9","GROWTH SUCCESSOR",2
"linkedin_9","GROWTH SUCCESSOR TO",2
"linkedin_9","DIRECTOR",2
"linkedin_9","THE DATA",2
"linkedin_9","DATA SCIENCE",2
"linkedin_9","SCIENCE DIRECTOR",2
"linkedin_9","DATA SCIENCE DIRECTOR",2
"linkedin_9","THE DATA SCIENCE DIRECTOR",2
"linkedin_9","BECOME THE DATA SCIENCE DIRECTOR",2
"linkedin_9","TO BECOME THE DATA SCIENCE DIRECTOR",2
"linkedin_9","COMPENSATION $125K$135K",2
"linkedin_9","BONUS",2
"linkedin_9","BONUS COMPENSATION",2
"linkedin_9","BONUS COMPENSATION IS",2
"linkedin_9","BONUS COMPENSATION IS BASED",2
"linkedin_9","REMOTE",2
"linkedin_9","OR REMOTE",2
"linkedin_9","IDEAL",2
"linkedin_9","IDEAL EXPERIENCE",2
"linkedin_9","EXPERIENCE O",2
"linkedin_9","MODEL DEVELOPMENT",2
"linkedin_9","IDEAL EXPERIENCE O",2
"linkedin_9","IDEAL EXPERIENCE O MODEL",2
"linkedin_9","IDEAL EXPERIENCE O MODEL DEVELOPMENT",2
"linkedin_9","IDEAL EXPERIENCE O MODEL DEVELOPMENT OR",2
"linkedin_9","IMPROVE",2
"linkedin_9","CECL",2
"linkedin_9","SQL",2
"linkedin_9","MODELS O",2
"linkedin_9","PYTHON",2
"linkedin_9","POWERBI",2
"linkedin_9","WORKING",2
"linkedin_9","APPLIED",2
"linkedin_9","LARGE",2
"linkedin_9","BANKING INDUSTRY",2
"linkedin_9","THE BANKING INDUSTRY",2
"linkedin_9","WITHIN THE BANKING INDUSTRY",2
"linkedin_9","ABILITY",2
"linkedin_9","ABILITY TO",2
"linkedin_9","FINANCIAL INFORMATION",2
"linkedin_9","COMPLEX FINANCIAL INFORMATION",2
"linkedin_9","ORGANIZE COMPLEX FINANCIAL INFORMATION",2
"linkedin_9","AND ORGANIZE COMPLEX FINANCIAL INFORMATION",2
"linkedin_9","ADVANCED SAS",2
"linkedin_9","SKILLS",2
"linkedin_9","ADVANCED SQL",2
"linkedin_9","SKILL",2
"linkedin_9","PROGRAMMING SKILL",2
"linkedin_9","MICROSOFT",2
"linkedin_9","ADVANCED MICROSOFT",2
"linkedin_9","EXPERIENCE WORKING WITHIN",2
"linkedin_9","EXPERIENCE WITH",2
"linkedin_9","EXPERIENCE WITH POWER",2
"linkedin_9","EXPERIENCE WITH POWER BI",2
"linkedin_9","KNOWLEDGE",2
"linkedin_9","KNOWLEDGE OF",2
"linkedin_9","DESCRIPTION",2
"linkedin_9","CECL DESCRIPTION",2
"linkedin_9","DESIGN",2
"linkedin_9","DESIGN AND",2
"linkedin_9","AND TEST",2
"linkedin_9","BUILD",2
"linkedin_9","AND BUILD",2
"linkedin_9","MANAGE RISK",2
"linkedin_9","AND MANAGE RISK",2
"linkedin_9","PROVIDE",2
"linkedin_9","PROVIDE EXPERTISE",2
"linkedin_9","COLLABORATE",2
"linkedin_9","MULTIDISCIPLINARY",2
"linkedin_9","COLLABORATE WITH",2
"linkedin_9","DOCUMENT",2
"linkedin_9","PROCESSES",2
"linkedin_9","DOCUMENT THE",2
"linkedin_9","DOCUMENT THE PROCESSES",2
"linkedin_9","MODEL BUSINESS",2
"linkedin_9","MODEL BUSINESS SCENARIOS",2
"linkedin_9","INTEGRATE",2
"linkedin_9","INTEGRATE AND",2
"linkedin_9","FOLLOWS",2
"linkedin_9","EMPLOYER",1
"linkedin_9","NOT",1
"linkedin_9","ABLE",1
"linkedin_9","EMPLOYER IS",1
"linkedin_9","IS NOT",1
"linkedin_9","NOT ABLE",1
"linkedin_9","ABLE TO",1
"linkedin_9","EMPLOYER IS NOT",1
"linkedin_9","IS NOT ABLE",1
"linkedin_9","NOT ABLE TO",1
"linkedin_9","EMPLOYER IS NOT ABLE",1
"linkedin_9","IS NOT ABLE TO",1
"linkedin_9","EMPLOYER IS NOT ABLE TO",1
"linkedin_9","SPONSOR",1
"linkedin_9","TO SPONSOR",1
"linkedin_9","SPONSOR CREDIT",1
"linkedin_9","TO SPONSOR CREDIT",1
"linkedin_9","CONNECT",1
"linkedin_9","HAS",1
"linkedin_9","FINTRUST CONNECT",1
"linkedin_9","CONNECT HAS",1
"linkedin_9","HAS PARTNERED",1
"linkedin_9","FINTRUST CONNECT HAS",1
"linkedin_9","CONNECT HAS PARTNERED",1
"linkedin_9","FINTRUST CONNECT HAS PARTNERED",1
"linkedin_9","WELLESTABLISHED",1
"linkedin_9","PARTNERED WITH",1
"linkedin_9","A WELLESTABLISHED",1
"linkedin_9","PARTNERED WITH A",1
"linkedin_9","WITH A WELLESTABLISHED",1
"linkedin_9","PARTNERED WITH A WELLESTABLISHED",1
"linkedin_9","TENURED",1
"linkedin_9","INSTITUTION",1
