"id","keyword","frequency"
"linkedin_14","",15
"linkedin_14","DATA",10
"linkedin_14","ANALYSIS",6
"linkedin_14","BUILDING",5
"linkedin_14","A",5
"linkedin_14","QUERY BUILDING",4
"linkedin_14","EXPERIENCE",3
"linkedin_14","INFORMATION",3
"linkedin_14","OF DATA",3
"linkedin_14","TECHNIQUES",3
"linkedin_14","DATA MINING",3
"linkedin_14","DOING",3
"linkedin_14","ABILITY",3
"linkedin_14","ABILITY TO",3
"linkedin_14","SKILLS",3
"linkedin_14","RELEVANT",2
"linkedin_14","REQUIRED",2
"linkedin_14","THE",2
"linkedin_14","WILL",2
"linkedin_14","MINING",2
"linkedin_14","STATISTICAL",2
"linkedin_14","ANALYSIS AND",2
"linkedin_14","SYSTEMS",2
"linkedin_14","WITH",2
"linkedin_14","USING",2
"linkedin_14","DATA MINING USING",2
"linkedin_14","FOR ANALYSIS",2
"linkedin_14","ADHOC",2
"linkedin_14","DOING ADHOC",2
"linkedin_14","MANNER",2
"linkedin_14","IN A",2
"linkedin_14","CLEAR MANNER",2
"linkedin_14","A CLEAR MANNER",2
"linkedin_14","IN A CLEAR MANNER",2
"linkedin_14","DETAILS",2
"linkedin_14","TELECOM",2
"linkedin_14","II",2
"linkedin_14","SQL",2
"linkedin_14","BI",2
"linkedin_14","EXCEL",2
"linkedin_14","BI EXCEL",2
"linkedin_14","A HANDFUL",2
"linkedin_14","A HANDFUL OF",2
"linkedin_14","DATA ANALYSIS",2
"linkedin_14","FOR DATA ANALYSIS",2
"linkedin_14","QUERY",2
"linkedin_14","WORK",2
"linkedin_14","WORK EXPERIENCE",2
"linkedin_14","BACKGROUNDPRIOR WORK EXPERIENCE",2
"linkedin_14","PRIORITY",2
"linkedin_14","PRIORITY SOFT",2
"linkedin_14","PRIORITY SOFT SKILLS",2
"linkedin_14","STRONG",2
"linkedin_14","STRONG COMMUNICATION",2
"linkedin_14","STRONG COMMUNICATION SKILLS",2
"linkedin_14","ENVIRONMENT",2
"linkedin_14","CHANGING ENVIRONMENT",2
"linkedin_14","TECHNOLOGY",2
"linkedin_14","SUPPORTING TECHNOLOGY",2
"linkedin_14","LEAST",1
"linkedin_14","3",1
"linkedin_14","AT LEAST",1
"linkedin_14","LEAST 3",1
"linkedin_14","AT LEAST 3",1
"linkedin_14","YEARS",1
"linkedin_14","YEARS RELEVANT",1
"linkedin_14","RELEVANT EXPERIENCE",1
"linkedin_14","EXPERIENCE REQUIRED",1
"linkedin_14","YEARS RELEVANT EXPERIENCE",1
"linkedin_14","RELEVANT EXPERIENCE REQUIRED",1
"linkedin_14","YEARS RELEVANT EXPERIENCE REQUIRED",1
"linkedin_14","HELP",1
"linkedin_14","REQUIRED HELP",1
"linkedin_14","HELP US",1
"linkedin_14","REQUIRED HELP US",1
"linkedin_14","DISCOVER",1
"linkedin_14","US DISCOVER",1
"linkedin_14","DISCOVER THE",1
"linkedin_14","THE INFORMATION",1
"linkedin_14","INFORMATION HIDDEN",1
"linkedin_14","US DISCOVER THE",1
"linkedin_14","DISCOVER THE INFORMATION",1
"linkedin_14","THE INFORMATION HIDDEN",1
"linkedin_14","US DISCOVER THE INFORMATION",1
"linkedin_14","DISCOVER THE INFORMATION HIDDEN",1
"linkedin_14","US DISCOVER THE INFORMATION HIDDEN",1
"linkedin_14","VAST",1
"linkedin_14","AMOUNTS",1
"linkedin_14","IN VAST",1
"linkedin_14","VAST AMOUNTS",1
"linkedin_14","IN VAST AMOUNTS",1
"linkedin_14","DATA TO",1
"linkedin_14","OF DATA TO",1
"linkedin_14","ENABLE",1
"linkedin_14","SMARTER",1
"linkedin_14","TO ENABLE",1
"linkedin_14","ENABLE SMARTER",1
"linkedin_14","TO ENABLE SMARTER",1
"linkedin_14","DELIVER",1
"linkedin_14","EVEN",1
"linkedin_14","BETTER",1
"linkedin_14","PRODUCTS",1
"linkedin_14","THAT WILL",1
"linkedin_14","WILL DELIVER",1
"linkedin_14","DELIVER EVEN",1
"linkedin_14","EVEN BETTER",1
"linkedin_14","BETTER PRODUCTS",1
"linkedin_14","THAT WILL DELIVER",1
"linkedin_14","WILL DELIVER EVEN",1
"linkedin_14","DELIVER EVEN BETTER",1
"linkedin_14","EVEN BETTER PRODUCTS",1
"linkedin_14","THAT WILL DELIVER EVEN",1
"linkedin_14","WILL DELIVER EVEN BETTER",1
