"id","keyword","frequency"
"linkedin_8","THE",7
"linkedin_8","DATA",6
"linkedin_8","EXPERIENCE",6
"linkedin_8","",6
"linkedin_8","A",4
"linkedin_8","STRONG",4
"linkedin_8","WORK",4
"linkedin_8","FIRM",3
"linkedin_8","WILL",3
"linkedin_8","SCIENCE",3
"linkedin_8","MODELING",3
"linkedin_8","DATA SCIENCE",3
"linkedin_8","SCIENCE MODELING",3
"linkedin_8","DATA SCIENCE MODELING",3
"linkedin_8","STRONG DATA",3
"linkedin_8","HEALTHTECH",2
"linkedin_8","IS",2
"linkedin_8","FIRM IS",2
"linkedin_8","FOR A",2
"linkedin_8","CANDIDATE",2
"linkedin_8","HAVE",2
"linkedin_8","WILL HAVE",2
"linkedin_8","WITH",2
"linkedin_8","BOTH",2
"linkedin_8","PYTHON",2
"linkedin_8","IN PYTHON",2
"linkedin_8","STRONG DATA SCIENCE",2
"linkedin_8","STRONG DATA SCIENCE MODELING",2
"linkedin_8","STRONG DATA SCIENCE MODELING SKILLS",2
"linkedin_8","ENGINEERING WORK",2
"linkedin_8","THE ENGINEERING WORK",2
"linkedin_8","AND THE ENGINEERING WORK",2
"linkedin_8","EXPERIENCE CUSTOMIZING",2
"linkedin_8","REPRODUCIBLE",2
"linkedin_8","EXPERIENCE WRITING",2
"linkedin_8","EXPERIENCE WRITING REPRODUCIBLE",2
"linkedin_8","CODE",2
"linkedin_8","MODULAR CODE",2
"linkedin_8","REPRODUCIBLE MODULAR CODE",2
"linkedin_8","DESIRE",2
"linkedin_8","DESIRE OR",2
"linkedin_8","MISSIONDRIVEN",2
"linkedin_8","HEALTHCARE",2
"linkedin_8","60",1
"linkedin_8","PERSON",1
"linkedin_8","60 PERSON",1
"linkedin_8","PERSON HEALTHTECH",1
"linkedin_8","60 PERSON HEALTHTECH",1
"linkedin_8","ANALYTICS",1
"linkedin_8","HIRING",1
"linkedin_8","HEALTHTECH ANALYTICS",1
"linkedin_8","ANALYTICS FIRM",1
"linkedin_8","IS HIRING",1
"linkedin_8","HEALTHTECH ANALYTICS FIRM",1
"linkedin_8","ANALYTICS FIRM IS",1
"linkedin_8","FIRM IS HIRING",1
"linkedin_8","HEALTHTECH ANALYTICS FIRM IS",1
"linkedin_8","ANALYTICS FIRM IS HIRING",1
"linkedin_8","HEALTHTECH ANALYTICS FIRM IS HIRING",1
"linkedin_8","MIDLEVEL",1
"linkedin_8","A MIDLEVEL",1
"linkedin_8","FOR A MIDLEVEL",1
"linkedin_8","SENIOR",1
"linkedin_8","SCIENTIST",1
"linkedin_8","IDEAL",1
"linkedin_8","TO SENIOR",1
"linkedin_8","SENIOR DATA",1
"linkedin_8","DATA SCIENTIST",1
"linkedin_8","SCIENTIST THE",1
"linkedin_8","THE IDEAL",1
"linkedin_8","IDEAL CANDIDATE",1
"linkedin_8","CANDIDATE WILL",1
"linkedin_8","HAVE AT",1
"linkedin_8","TO SENIOR DATA",1
"linkedin_8","SENIOR DATA SCIENTIST",1
"linkedin_8","DATA SCIENTIST THE",1
"linkedin_8","SCIENTIST THE IDEAL",1
"linkedin_8","THE IDEAL CANDIDATE",1
"linkedin_8","IDEAL CANDIDATE WILL",1
"linkedin_8","CANDIDATE WILL HAVE",1
"linkedin_8","WILL HAVE AT",1
"linkedin_8","TO SENIOR DATA SCIENTIST",1
"linkedin_8","SENIOR DATA SCIENTIST THE",1
"linkedin_8","DATA SCIENTIST THE IDEAL",1
"linkedin_8","SCIENTIST THE IDEAL CANDIDATE",1
"linkedin_8","THE IDEAL CANDIDATE WILL",1
"linkedin_8","IDEAL CANDIDATE WILL HAVE",1
"linkedin_8","CANDIDATE WILL HAVE AT",1
"linkedin_8","TO SENIOR DATA SCIENTIST THE",1
"linkedin_8","SENIOR DATA SCIENTIST THE IDEAL",1
"linkedin_8","DATA SCIENTIST THE IDEAL CANDIDATE",1
"linkedin_8","SCIENTIST THE IDEAL CANDIDATE WILL",1
"linkedin_8","THE IDEAL CANDIDATE WILL HAVE",1
"linkedin_8","IDEAL CANDIDATE WILL HAVE AT",1
"linkedin_8","TO SENIOR DATA SCIENTIST THE IDEAL",1
"linkedin_8","SENIOR DATA SCIENTIST THE IDEAL CANDIDATE",1
"linkedin_8","DATA SCIENTIST THE IDEAL CANDIDATE WILL",1
"linkedin_8","SCIENTIST THE IDEAL CANDIDATE WILL HAVE",1
"linkedin_8","THE IDEAL CANDIDATE WILL HAVE AT",1
"linkedin_8","TO SENIOR DATA SCIENTIST THE IDEAL CANDIDATE",1
