"id","keyword","frequency"
"linkedin_7","THE",13
"linkedin_7","WITH",6
"linkedin_7","ANALYTICS",5
"linkedin_7","WORKING",5
"linkedin_7","EXPERIENCE",4
"linkedin_7","DATA",4
"linkedin_7","A",4
"linkedin_7","OF THE",4
"linkedin_7","IN THE",4
"linkedin_7","TEAMS",3
"linkedin_7","ARE",3
"linkedin_7","ONE",3
"linkedin_7","ONE OF",3
"linkedin_7","WORK",3
"linkedin_7","EXPERIENCE IN",2
"linkedin_7","SCIENCE",2
"linkedin_7","CUSTOMERPRODUCT",2
"linkedin_7","ANALYTICS DATA",2
"linkedin_7","DATA SCIENCE",2
"linkedin_7","ANALYTICS DATA SCIENCE",2
"linkedin_7","EXPERIENCE WORKING",2
"linkedin_7","DIRECTLY WITH",2
"linkedin_7","BUSINESS",2
"linkedin_7","KEY",2
"linkedin_7","SKILLS",2
"linkedin_7","CSUITE",2
"linkedin_7","PT",2
"linkedin_7","ITS",2
"linkedin_7","LARGEST",2
"linkedin_7","THE LARGEST",2
"linkedin_7","TREDENCE",2
"linkedin_7","SCALE",2
"linkedin_7","AT SCALE",2
"linkedin_7","DECISION",2
"linkedin_7","WILL",2
"linkedin_7","YOU WILL",2
"linkedin_7","SOME",2
"linkedin_7","WORK WITH",2
"linkedin_7","SOME OF",2
"linkedin_7","PEOPLE",2
"linkedin_7","WITH THE",2
"linkedin_7","MOST",2
"linkedin_7","WORLD",2
"linkedin_7","THE WORLD",2
"linkedin_7","IN THE WORLD",2
"linkedin_7","401K",2
"linkedin_7","BENEFITS",2
"linkedin_7","YEARS",1
"linkedin_7","YEARS EXPERIENCE",1
"linkedin_7","YEARS EXPERIENCE IN",1
"linkedin_7","AN",1
"linkedin_7","ROLE",1
"linkedin_7","IN AN",1
"linkedin_7","AN ANALYTICS",1
"linkedin_7","SCIENCE ROLE",1
"linkedin_7","ROLE CUSTOMERPRODUCT",1
"linkedin_7","IN AN ANALYTICS",1
"linkedin_7","AN ANALYTICS DATA",1
"linkedin_7","DATA SCIENCE ROLE",1
"linkedin_7","SCIENCE ROLE CUSTOMERPRODUCT",1
"linkedin_7","IN AN ANALYTICS DATA",1
"linkedin_7","AN ANALYTICS DATA SCIENCE",1
"linkedin_7","ANALYTICS DATA SCIENCE ROLE",1
"linkedin_7","DATA SCIENCE ROLE CUSTOMERPRODUCT",1
"linkedin_7","IN AN ANALYTICS DATA SCIENCE",1
"linkedin_7","AN ANALYTICS DATA SCIENCE ROLE",1
"linkedin_7","ANALYTICS DATA SCIENCE ROLE CUSTOMERPRODUCT",1
"linkedin_7","IN AN ANALYTICS DATA SCIENCE ROLE",1
"linkedin_7","AN ANALYTICS DATA SCIENCE ROLE CUSTOMERPRODUCT",1
"linkedin_7","IN AN ANALYTICS DATA SCIENCE ROLE CUSTOMERPRODUCT",1
"linkedin_7","ADVANCED",1
"linkedin_7","PROFICIENCY",1
"linkedin_7","CUSTOMERPRODUCT ANALYTICS",1
"linkedin_7","ANALYTICS ADVANCED",1
"linkedin_7","ADVANCED PROFICIENCY",1
"linkedin_7","CUSTOMERPRODUCT ANALYTICS ADVANCED",1
"linkedin_7","ANALYTICS ADVANCED PROFICIENCY",1
"linkedin_7","CUSTOMERPRODUCT ANALYTICS ADVANCED PROFICIENCY",1
"linkedin_7","SQL",1
"linkedin_7","EXCEL",1
"linkedin_7","SQL EXCEL",1
"linkedin_7","EXCEL AND",1
"linkedin_7","SQL EXCEL AND",1
"linkedin_7","PYTHON",1
"linkedin_7","AND PYTHON",1
"linkedin_7","PYTHON EXPERIENCE",1
"linkedin_7","WORKING DIRECTLY",1
"linkedin_7","AND PYTHON EXPERIENCE",1
"linkedin_7","PYTHON EXPERIENCE WORKING",1
"linkedin_7","EXPERIENCE WORKING DIRECTLY",1
"linkedin_7","AND PYTHON EXPERIENCE WORKING",1
"linkedin_7","PYTHON EXPERIENCE WORKING DIRECTLY",1
"linkedin_7","AND PYTHON EXPERIENCE WORKING DIRECTLY",1
"linkedin_7","WITH DATA",1
"linkedin_7","DATA AND",1
"linkedin_7","DIRECTLY WITH DATA",1
"linkedin_7","WITH DATA AND",1
"linkedin_7","DIRECTLY WITH DATA AND",1
"linkedin_7","AND BUSINESS",1
"linkedin_7","BUSINESS TEAMS",1
"linkedin_7","AND BUSINESS TEAMS",1
"linkedin_7","IDENTIFY",1
"linkedin_7","KPIS",1
"linkedin_7","TO IDENTIFY",1
"linkedin_7","IDENTIFY KEY",1
"linkedin_7","KEY KPIS",1
"linkedin_7","TO IDENTIFY KEY",1
"linkedin_7","IDENTIFY KEY KPIS",1
"linkedin_7","TO IDENTIFY KEY KPIS",1
"linkedin_7","CREATE",1
"linkedin_7","RECOMMENDATIONS",1
"linkedin_7","AND CREATE",1
"linkedin_7","CREATE RECOMMENDATIONS",1
"linkedin_7","AND CREATE RECOMMENDATIONS",1
"linkedin_7","RIGOROUS",1
"linkedin_7","ANALYSIS",1
"linkedin_7","EXCELLENT",1
"linkedin_7","WRITTEN",1
"linkedin_7","ON RIGOROUS",1
"linkedin_7","RIGOROUS ANALYSIS",1
"linkedin_7","ANALYSIS EXCELLENT",1
"linkedin_7","EXCELLENT WRITTEN",1
"linkedin_7","WRITTEN AND",1
"linkedin_7","ON RIGOROUS ANALYSIS",1
"linkedin_7","RIGOROUS ANALYSIS EXCELLENT",1
"linkedin_7","ANALYSIS EXCELLENT WRITTEN",1
"linkedin_7","EXCELLENT WRITTEN AND",1
"linkedin_7","ON RIGOROUS ANALYSIS EXCELLENT",1
"linkedin_7","RIGOROUS ANALYSIS EXCELLENT WRITTEN",1
"linkedin_7","ANALYSIS EXCELLENT WRITTEN AND",1
"linkedin_7","ON RIGOROUS ANALYSIS EXCELLENT WRITTEN",1
"linkedin_7","RIGOROUS ANALYSIS EXCELLENT WRITTEN AND",1
"linkedin_7","ON RIGOROUS ANALYSIS EXCELLENT WRITTEN AND",1
"linkedin_7","VERBAL",1
"linkedin_7","COMMUNICATION",1
"linkedin_7","AND VERBAL",1
"linkedin_7","VERBAL COMMUNICATION",1
"linkedin_7","COMMUNICATION SKILLS",1
"linkedin_7","AND VERBAL COMMUNICATION",1
"linkedin_7","VERBAL COMMUNICATION SKILLS",1
"linkedin_7","AND VERBAL COMMUNICATION SKILLS",1
"linkedin_7","SKILLS EXPERIENCE",1
"linkedin_7","SKILLS EXPERIENCE IN",1
"linkedin_7","LEADING",1
"linkedin_7","CLIENT",1
"linkedin_7","DISCOVERY",1
"linkedin_7","SESSIONS",1
"linkedin_7","IN LEADING",1
"linkedin_7","LEADING CLIENT",1
"linkedin_7","CLIENT DISCOVERY",1
"linkedin_7","DISCOVERY SESSIONS",1
"linkedin_7","IN LEADING CLIENT",1
"linkedin_7","LEADING CLIENT DISCOVERY",1
"linkedin_7","CLIENT DISCOVERY SESSIONS",1
"linkedin_7","IN LEADING CLIENT DISCOVERY",1
"linkedin_7","LEADING CLIENT DISCOVERY SESSIONS",1
"linkedin_7","IN LEADING CLIENT DISCOVERY SESSIONS",1
"linkedin_7","TO THE",1
"linkedin_7","THE CSUITE",1
"linkedin_7","TO THE CSUITE",1
"linkedin_7","FLEXIBILITY",1
"linkedin_7","CSUITE FLEXIBILITY",1
"linkedin_7","FLEXIBILITY WORKING",1
"linkedin_7","WORKING PT",1
"linkedin_7","CSUITE FLEXIBILITY WORKING",1
"linkedin_7","FLEXIBILITY WORKING PT",1
"linkedin_7","CSUITE FLEXIBILITY WORKING PT",1
"linkedin_7","HOURS",1
"linkedin_7","PT HOURS",1
"linkedin_7","HOURS EXPERIENCE",1
"linkedin_7","WORKING ON",1
"linkedin_7","PT HOURS EXPERIENCE",1
"linkedin_7","HOURS EXPERIENCE WORKING",1
"linkedin_7","EXPERIENCE WORKING ON",1
"linkedin_7","PT HOURS EXPERIENCE WORKING",1
"linkedin_7","HOURS EXPERIENCE WORKING ON",1
"linkedin_7","PT HOURS EXPERIENCE WORKING ON",1
"linkedin_7","CHURNRETENTION",1
"linkedin_7","COMFORTABLE",1
"linkedin_7","CHURNRETENTION ANALYTICS",1
"linkedin_7","ANALYTICS COMFORTABLE",1
"linkedin_7","COMFORTABLE IN",1
"linkedin_7","CHURNRETENTION ANALYTICS COMFORTABLE",1
"linkedin_7","ANALYTICS COMFORTABLE IN",1
"linkedin_7","CHURNRETENTION ANALYTICS COMFORTABLE IN",1
"linkedin_7","IN WORKING",1
"linkedin_7","WORKING WITH",1
"linkedin_7","WITH TEAMS",1
"linkedin_7","IN WORKING WITH",1
"linkedin_7","WORKING WITH TEAMS",1
"linkedin_7","IN WORKING WITH TEAMS",1
"linkedin_7","SPREAD",1
"linkedin_7","TEAMS SPREAD",1
"linkedin_7","SPREAD ACROSS",1
"linkedin_7","TEAMS SPREAD ACROSS",1
"linkedin_7","NORTH",1
"linkedin_7","AMERICA",1
"linkedin_7","IN NORTH",1
"linkedin_7","NORTH AMERICA",1
