"id","keyword","frequency"
"linkedin_20","DATA",6
"linkedin_20","A",6
"linkedin_20","WOULD",6
"linkedin_20","THE",5
"linkedin_20","ARE",5
"linkedin_20","",5
"linkedin_20","WITH",4
"linkedin_20","IS",4
"linkedin_20","THEY ARE",3
"linkedin_20","MORE",3
"linkedin_20","BE",3
"linkedin_20","EXPERIENCE",2
"linkedin_20","OF THE",2
"linkedin_20","EXTERNAL",2
"linkedin_20","CONNECTING EXTERNAL",2
"linkedin_20","INTERNAL",2
"linkedin_20","INTERNAL DATA",2
"linkedin_20","INTERNAL DATA TO",2
"linkedin_20","OPEN",2
"linkedin_20","OPEN NEW",2
"linkedin_20","OPEN NEW OPPORTUNITIES",2
"linkedin_20","IN THE",2
"linkedin_20","LOOKING",2
"linkedin_20","ARE LOOKING",2
"linkedin_20","LOOKING FOR",2
"linkedin_20","ARE LOOKING FOR",2
"linkedin_20","HAS",2
"linkedin_20","WHO HAS",2
"linkedin_20","THIS IS",2
"linkedin_20","WOULD BE",2
"linkedin_20","DISTRIBUTED",2
"linkedin_20","MACHINE",2
"linkedin_20","LEARNING",2
"linkedin_20","MACHINE LEARNING",2
"linkedin_20","DETECT",2
"linkedin_20","TO DETECT",2
"linkedin_20","EXPLORE",2
"linkedin_20","EXPLORE ANOMALIES",2
"linkedin_20","ALL",2
"linkedin_20","CUSTOMERSCLIENTS",2
"linkedin_20","AWS",2
"linkedin_20","ONBOARD",2
"linkedin_20","YOU ARE",2
"linkedin_20","CANDIDATES",2
"linkedin_20","ON EXPERIENCE",1
"linkedin_20","EXPERIENCE WE",1
"linkedin_20","ON EXPERIENCE WE",1
"linkedin_20","HAVE",1
"linkedin_20","TEAMED",1
"linkedin_20","WE HAVE",1
"linkedin_20","HAVE TEAMED",1
"linkedin_20","TEAMED UP",1
"linkedin_20","WE HAVE TEAMED",1
"linkedin_20","HAVE TEAMED UP",1
"linkedin_20","WE HAVE TEAMED UP",1
"linkedin_20","ONE",1
"linkedin_20","UP WITH",1
"linkedin_20","WITH ONE",1
"linkedin_20","ONE OF",1
"linkedin_20","UP WITH ONE",1
"linkedin_20","WITH ONE OF",1
"linkedin_20","UP WITH ONE OF",1
"linkedin_20","HEAVY",1
"linkedin_20","HITTERS",1
"linkedin_20","THE HEAVY",1
"linkedin_20","HEAVY HITTERS",1
"linkedin_20","OF THE HEAVY",1
"linkedin_20","THE HEAVY HITTERS",1
"linkedin_20","OF THE HEAVY HITTERS",1
"linkedin_20","IN DATA",1
"linkedin_20","DATA THEY",1
"linkedin_20","IN DATA THEY",1
"linkedin_20","FOCUSED",1
"linkedin_20","ARE FOCUSED",1
"linkedin_20","THEY ARE FOCUSED",1
"linkedin_20","HOW DATA",1
"linkedin_20","DATA IS",1
"linkedin_20","IS SEEN",1
"linkedin_20","HOW DATA IS",1
"linkedin_20","DATA IS SEEN",1
"linkedin_20","HOW DATA IS SEEN",1
"linkedin_20","CONNECTING",1
"linkedin_20","DATA TO",1
"linkedin_20","UNLOCK",1
"linkedin_20","INSIGHTS",1
"linkedin_20","TO UNLOCK",1
"linkedin_20","UNLOCK INSIGHTS",1
"linkedin_20","TO UNLOCK INSIGHTS",1
"linkedin_20","INFORM",1
"linkedin_20","BUSINESS",1
"linkedin_20","DECISIONS",1
"linkedin_20","WHICH INFORM",1
"linkedin_20","INFORM BUSINESS",1
