"id","keyword","frequency"
"indeed_8","DATA",7
"indeed_8","THE",6
"indeed_8","SCIENCE",5
"indeed_8","WITH",4
"indeed_8","DISCIPLINES",4
"indeed_8","APPLIED",4
"indeed_8","OPERATIONAL",4
"indeed_8","OF THE",3
"indeed_8","DATA SCIENCE",3
"indeed_8","RESEARCH",3
"indeed_8","A",3
"indeed_8","CUSTOMERS",2
"indeed_8","WITH OTHER",2
"indeed_8","ONE",2
"indeed_8","IN ONE",2
"indeed_8","ONE OF",2
"indeed_8","IN ONE OF",2
"indeed_8","FOLLOWING",2
"indeed_8","THE FOLLOWING",2
"indeed_8","FOLLOWING DISCIPLINES",2
"indeed_8","OF THE FOLLOWING",2
"indeed_8","THE FOLLOWING DISCIPLINES",2
"indeed_8","OF THE FOLLOWING DISCIPLINES",2
"indeed_8","COMPUTER",2
"indeed_8","STATISTICS",2
"indeed_8","ECONOMICS",2
"indeed_8","DISCIPLINES COMPUTER",2
"indeed_8","COMPUTER SCIENCE",2
"indeed_8","SCIENCE STATISTICS",2
"indeed_8","STATISTICS DATA",2
"indeed_8","SCIENCE ECONOMICS",2
"indeed_8","ECONOMICS APPLIED",2
"indeed_8","DISCIPLINES COMPUTER SCIENCE",2
"indeed_8","COMPUTER SCIENCE STATISTICS",2
"indeed_8","SCIENCE STATISTICS DATA",2
"indeed_8","STATISTICS DATA SCIENCE",2
"indeed_8","DATA SCIENCE ECONOMICS",2
"indeed_8","SCIENCE ECONOMICS APPLIED",2
"indeed_8","DISCIPLINES COMPUTER SCIENCE STATISTICS",2
"indeed_8","COMPUTER SCIENCE STATISTICS DATA",2
"indeed_8","SCIENCE STATISTICS DATA SCIENCE",2
"indeed_8","STATISTICS DATA SCIENCE ECONOMICS",2
"indeed_8","DATA SCIENCE ECONOMICS APPLIED",2
"indeed_8","DISCIPLINES COMPUTER SCIENCE STATISTICS DATA",2
"indeed_8","COMPUTER SCIENCE STATISTICS DATA SCIENCE",2
"indeed_8","SCIENCE STATISTICS DATA SCIENCE ECONOMICS",2
"indeed_8","STATISTICS DATA SCIENCE ECONOMICS APPLIED",2
"indeed_8","DISCIPLINES COMPUTER SCIENCE STATISTICS DATA SCIENCE",2
"indeed_8","COMPUTER SCIENCE STATISTICS DATA SCIENCE ECONOMICS",2
"indeed_8","SCIENCE STATISTICS DATA SCIENCE ECONOMICS APPLIED",2
"indeed_8","DISCIPLINES COMPUTER SCIENCE STATISTICS DATA SCIENCE ECONOMICS",2
"indeed_8","COMPUTER SCIENCE STATISTICS DATA SCIENCE ECONOMICS APPLIED",2
"indeed_8","DISCIPLINES COMPUTER SCIENCE STATISTICS DATA SCIENCE ECONOMICS APPLIED",2
"indeed_8","MATH",2
"indeed_8","APPLIED MATH",2
"indeed_8","MATH OPERATIONAL",2
"indeed_8","APPLIED MATH OPERATIONAL",2
"indeed_8","OPERATIONAL RESEARCH",2
"indeed_8","RESEARCH OR",2
"indeed_8","OPERATIONAL RESEARCH OR",2
"indeed_8","OR A",2
"indeed_8","A RELATED",2
"indeed_8","OR A RELATED",2
"indeed_8","QUANTITATIVE",2
"indeed_8","FIELD",2
"indeed_8","RELATED QUANTITATIVE",2
"indeed_8","QUANTITATIVE FIELD",2
"indeed_8","RELATED QUANTITATIVE FIELD",2
"indeed_8","TSUNAMI",2
"indeed_8","YEAR",2
"indeed_8","EXPERIENCE",2
"indeed_8","YEAR EXPERIENCE",2
