"id","keyword","frequency"
"indeed_19","DATA",15
"indeed_19","PROBLEMS",3
"indeed_19","OF DATA",3
"indeed_19","BUSINESS",3
"indeed_19","VISUALIZATION",3
"indeed_19","THE",3
"indeed_19","EXPERIENCE",3
"indeed_19","LARGE",2
"indeed_19","VARIOUS",2
"indeed_19","STATISTICAL",2
"indeed_19","DATA VISUALIZATION",2
"indeed_19","THE DATA",2
"indeed_19","SOURCES",2
"indeed_19","OBJECTIVES",2
"indeed_19","ANALYTIC",2
"indeed_19","DEMONSTRATES",2
"indeed_19","SKILLS",2
"indeed_19","PREDICTIVE",1
"indeed_19","MODELS",1
"indeed_19","AND PREDICTIVE",1
"indeed_19","PREDICTIVE MODELS",1
"indeed_19","AND PREDICTIVE MODELS",1
"indeed_19","INVESTIGATE",1
"indeed_19","TO INVESTIGATE",1
"indeed_19","INVESTIGATE PROBLEMS",1
"indeed_19","TO INVESTIGATE PROBLEMS",1
"indeed_19","DETECT",1
"indeed_19","PATTERNS",1
"indeed_19","PROBLEMS DETECT",1
"indeed_19","DETECT PATTERNS",1
"indeed_19","PROBLEMS DETECT PATTERNS",1
"indeed_19","RECOMMEND",1
"indeed_19","SOLUTIONS",1
"indeed_19","AND RECOMMEND",1
"indeed_19","RECOMMEND SOLUTIONS",1
"indeed_19","AND RECOMMEND SOLUTIONS",1
"indeed_19","INTERPRETS",1
"indeed_19","VOLUMES",1
"indeed_19","INTERPRETS LARGE",1
"indeed_19","LARGE VOLUMES",1
"indeed_19","INTERPRETS LARGE VOLUMES",1
"indeed_19","DATA IN",1
"indeed_19","OF DATA IN",1
"indeed_19","FORMS",1
"indeed_19","IN VARIOUS",1
"indeed_19","VARIOUS FORMS",1
"indeed_19","IN VARIOUS FORMS",1
"indeed_19","STRUCTURED",1
"indeed_19","OF STRUCTURED",1
"indeed_19","STRUCTURED AND",1
"indeed_19","OF STRUCTURED AND",1
"indeed_19","UNSTRUCTURED",1
"indeed_19","UNSTRUCTURED DATA",1
"indeed_19","DATA TO",1
"indeed_19","UNSTRUCTURED DATA TO",1
"indeed_19","SOLVE",1
"indeed_19","TO SOLVE",1
"indeed_19","SOLVE MODERATELY",1
"indeed_19","TO SOLVE MODERATELY",1
"indeed_19","COMPLEX",1
"indeed_19","MODERATELY COMPLEX",1
"indeed_19","COMPLEX BUSINESS",1
"indeed_19","BUSINESS PROBLEMS",1
"indeed_19","MODERATELY COMPLEX BUSINESS",1
"indeed_19","COMPLEX BUSINESS PROBLEMS",1
"indeed_19","MODERATELY COMPLEX BUSINESS PROBLEMS",1
"indeed_19","UTILIZING",1
"indeed_19","ADVANCED",1
"indeed_19","UTILIZING ADVANCED",1
"indeed_19","ADVANCED STATISTICAL",1
"indeed_19","UTILIZING ADVANCED STATISTICAL",1
"indeed_19","MATHEMATICAL",1
"indeed_19","ANALYSES",1
"indeed_19","AND MATHEMATICAL",1
"indeed_19","MATHEMATICAL ANALYSES",1
"indeed_19","AND MATHEMATICAL ANALYSES",1
"indeed_19","DEVELOPS",1
"indeed_19","STRUCTURES",1
"indeed_19","DEVELOPS DATA",1
"indeed_19","DATA STRUCTURES",1
"indeed_19","DEVELOPS DATA STRUCTURES",1
"indeed_19","ORGANIZE",1
"indeed_19","COLLECT",1
"indeed_19","TO ORGANIZE",1
"indeed_19","ORGANIZE COLLECT",1
"indeed_19","COLLECT AND",1
"indeed_19","TO ORGANIZE COLLECT",1
"indeed_19","ORGANIZE COLLECT AND",1
"indeed_19","TO ORGANIZE COLLECT AND",1
"indeed_19","STANDARDIZE",1
"indeed_19","AND STANDARDIZE",1
"indeed_19","STANDARDIZE DATA",1
"indeed_19","DATA THAT",1
"indeed_19","AND STANDARDIZE DATA",1
"indeed_19","STANDARDIZE DATA THAT",1
"indeed_19","AND STANDARDIZE DATA THAT",1
"indeed_19","HELPS",1
"indeed_19","GENERATE",1
"indeed_19","INSIGHTS",1
"indeed_19","HELPS GENERATE",1
"indeed_19","GENERATE INSIGHTS",1
"indeed_19","HELPS GENERATE INSIGHTS",1
"indeed_19","USES",1
"indeed_19","USES DATA",1
"indeed_19","USES DATA VISUALIZATION",1
"indeed_19","COMMUNICATE",1
"indeed_19","ANALYTICAL",1
"indeed_19","EFFECTIVELY COMMUNICATE",1
"indeed_19","COMMUNICATE ANALYTICAL",1
"indeed_19","EFFECTIVELY COMMUNICATE ANALYTICAL",1
"indeed_19","SUPPORT",1
"indeed_19","DECISIONS",1
"indeed_19","AND SUPPORT",1
"indeed_19","SUPPORT BUSINESS",1
"indeed_19","BUSINESS DECISIONS",1
"indeed_19","AND SUPPORT BUSINESS",1
"indeed_19","SUPPORT BUSINESS DECISIONS",1
"indeed_19","AND SUPPORT BUSINESS DECISIONS",1
"indeed_19","EVALUATES",1
"indeed_19","EVALUATES THE",1
"indeed_19","DATA NEEDS",1
"indeed_19","EVALUATES THE DATA",1
"indeed_19","THE DATA NEEDS",1
"indeed_19","EVALUATES THE DATA NEEDS",1
"indeed_19","ASSURES",1
"indeed_19","INTEGRITY",1
"indeed_19","ASSURES THE",1
"indeed_19","THE INTEGRITY",1
"indeed_19","INTEGRITY OF",1
"indeed_19","ASSURES THE INTEGRITY",1
"indeed_19","THE INTEGRITY OF",1
"indeed_19","ASSURES THE INTEGRITY OF",1
